Acceleration: X [raw] , Acceleration: Y [raw] , Acceleration: Z [raw] , Pressure [raw] , Temperature [raw] , Cycle time [s] 
2502,166,3510,100,33,3900
2383,212,3358,100,33,3920
2028,341,3375,100,33,3940
2428,300,3370,100,33,3960
2500,498,3157,100,33,3980
2334,556,3279,100,33,4000
2532,579,3376,100,33,4020
2278,473,3413,100,33,4040
2104,670,3239,100,33,4060
2214,706,3134,100,33,4080
2524,527,3184,100,33,4100
2468,447,3239,100,33,4120
2376,498,3333,100,33,4140
2442,548,3239,100,33,4160
2419,575,3226,100,33,4180
2143,600,3459,100,33,4200
2580,529,3349,100,33,4220
2639,661,3313,100,33,4240
2486,577,3326,100,33,4260
2425,667,3469,100,33,4280
2356,750,3189,100,33,4300
2545,476,3153,100,33,4320
2637,519,3050,100,33,4340
2432,612,3187,100,33,4360
2249,609,3376,100,33,4380
2187,725,3468,100,33,4400
2249,704,3651,100,33,4420
2306,876,3344,100,33,4440
2029,687,3391,100,33,4460
2470,890,3290,100,33,4480
2488,953,3217,100,33,4500
2434,999,3178,100,33,4520
2439,1080,3072,100,33,4540
2287,922,3129,100,33,4560
2306,884,3067,100,33,4580
2221,925,3119,100,33,4600
2122,912,3376,100,33,4620
2163,984,3380,100,33,4640
2130,1087,3275,100,33,4660
2205,1147,3247,100,33,4680
2324,904,3182,100,33,4700
2286,881,3305,100,33,4720
2245,969,3394,100,33,4740
2235,872,3402,100,33,4760
2288,849,3366,100,33,4780
2128,890,3293,100,33,4800
2258,797,3318,100,33,4820
2363,52,3293,100,33,4840
2302,267,3433,100,33,4860
2292,287,3532,100,33,4880
2200,404,3437,100,33,4900
2021,563,3385,100,33,4920
1883,701,3466,100,33,4940
1706,884,3594,100,33,4960
1650,986,3692,100,33,4980
1637,1103,3787,100,33,5000
1490,1175,3846,100,33,5020
1505,1202,3825,100,33,5040
1478,1188,3972,100,33,5060
1458,1224,4055,100,33,5080
1471,1128,4225,100,33,5100
1466,1056,4249,100,33,5120
1449,1171,4038,100,33,5140
1565,1125,3907,100,33,5160
1698,967,3831,100,33,5180
1707,765,3692,100,33,5200
1755,698,3564,100,33,5220
1754,699,3599,100,33,5240
1811,686,3579,100,33,5260
1871,647,3630,100,33,5280
1898,543,3541,100,33,5300
1966,456,3511,100,33,5320
1999,440,3484,100,33,5340
